Assay_Type	BioSample	Experiment	LibrarySelection	LibrarySource	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	biological_replica	dev_stage	sample_type	temp	tissue	AvgSpotLen	BioProject	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	ecotype	geo_loc_name
OTHER	SAMN07645395	SRX3189245	size fractionation	OTHER	Flower_27_2_PARE	303	222	SRR6041082	SRS2516585	Flower_27_2	2	Flowering plant	tissue sample	27	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645406	SRX3189244	size fractionation	OTHER	Root_27_1_PARE	271	193	SRR6041083	SRS2516582	Root_27_1	1	Seedling	tissue sample	27	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645407	SRX3189243	size fractionation	OTHER	Root_27_2_PARE	266	196	SRR6041084	SRS2516583	Root_27_2	2	Seedling	tissue sample	27	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645405	SRX3189242	size fractionation	OTHER	Root_21_2_PARE	562	413	SRR6041085	SRS2516584	Root_21_2	2	Seedling	tissue sample	21	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645404	SRX3189241	size fractionation	OTHER	Root_21_1_PARE	986	708	SRR6041086	SRS2516571	Root_21_1	1	Seedling	tissue sample	21	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645406	SRX3189240	RANDOM	TRANSCRIPTOMIC	Root_27_1_mRNA	298	210	SRR6041087	SRS2516582	Root_27_1	1	Seedling	tissue sample	27	Root	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645412	SRX3189239	RANDOM	TRANSCRIPTOMIC	Seedling_27_1_mRNA	371	260	SRR6041088	SRS2516591	Seedling_27_1	1	Seedling	whole organism	27	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645410	SRX3189238	RANDOM	TRANSCRIPTOMIC	Seedling_21_1_mRNA	370	259	SRR6041089	SRS2516590	Seedling_21_1	1	Seedling	whole organism	21	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645390	SRX3189237	RANDOM	TRANSCRIPTOMIC	Flower_15_1_mRNA	449	315	SRR6041090	SRS2516586	Flower_15_1	1	Flowering plant	tissue sample	15	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645408	SRX3189236	RANDOM	TRANSCRIPTOMIC	Seedling_15_1_mRNA	413	289	SRR6041091	SRS2516570	Seedling_15_1	1	Seedling	whole organism	15	Seedling	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
RNA-Seq	SAMN07645392	SRX3189235	RANDOM	TRANSCRIPTOMIC	Flower_21_1_mRNA	330	231	SRR6041092	SRS2516588	Flower_21_1	1	Flowering plant	tissue sample	21	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645393	SRX3189234	size fractionation	OTHER	Flower_21_2_sRNA	884	568	SRR6041093	SRS2516589	Flower_21_2	2	Flowering plant	tissue sample	21	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645392	SRX3189233	size fractionation	OTHER	Flower_21_1_sRNA	332	221	SRR6041094	SRS2516588	Flower_21_1	1	Flowering plant	tissue sample	21	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645391	SRX3189232	size fractionation	OTHER	Flower_15_2_sRNA	887	611	SRR6041095	SRS2516587	Flower_15_2	2	Flowering plant	tissue sample	15	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645390	SRX3189231	size fractionation	OTHER	Flower_15_1_sRNA	595	393	SRR6041096	SRS2516586	Flower_15_1	1	Flowering plant	tissue sample	15	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
OTHER	SAMN07645399	SRX3189230	size fractionation	OTHER	Leaf_21_2_PARE	451	333	SRR6041097	SRS2516575	Leaf_21_2	2	Flowering plant	tissue sample	21	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645396	SRX3189229	size fractionation	OTHER	Leaf_15_1_sRNA	500	338	SRR6041098	SRS2516574	Leaf_15_1	1	Flowering plant	tissue sample	15	Leaf	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
miRNA-Seq	SAMN07645395	SRX3189228	size fractionation	OTHER	Flower_27_2_sRNA	1649	1142	SRR6041099	SRS2516585	Flower_27_2	2	Flowering plant	tissue sample	27	Flower	50	PRJNA407271	Plant	public	sra	ncbi	0	Illumina HiScanSQ	SINGLE	2017-09-15	Arabidopsis thaliana	ILLUMINA	2018-01-01	SRP117737	Col-0	USA: Columbia
